,cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,tipo_agencia
0,116,338,1,2014-05-30 18:43:12 UTC,0.0194,36199.950354610155,50032.03,13832.079645389853,1045.2198253419488,58,0,Enviada,Agencia Digital
1,485,338,20,2021-03-30 08:59:12 UTC,0.0246,142181.29488527964,213555.4,71374.10511472035,4019.5953118444754,84,1,Aprovada,Agencia Digital
2,1551,338,59,2019-06-04 03:50:19 UTC,0.0209,5777.846045803299,9370.72,3592.8739541967007,165.80216565566084,63,3,Aprovada,Agencia Digital
3,1369,338,72,2013-08-30 11:18:10 UTC,0.0128,42079.17352023551,81806.23,39727.05647976448,1912.8882265109476,26,3,Validação documentos,Agencia Digital
4,715,45,1,2021-06-17 13:09:32 UTC,0.0131,12897.538285403733,19848.55,6951.011714596269,232.12468459986448,100,1,Enviada,Agencia Fisica
5,755,494,1,2021-08-10 04:24:02 UTC,0.0203,122236.3125510502,187154.36,64918.047448949765,3673.518950842969,56,0,Enviada,Agencia Digital
6,1938,494,58,2012-11-19 12:30:20 UTC,0.009,97385.4941547673,166583.93,69198.43584523271,1463.1233974223103,102,0,Em análise,Agencia Digital
7,1574,494,76,2017-06-29 15:17:51 UTC,0.0129,113387.00298835244,151837.65,38450.64701164757,3793.554958594579,38,3,Validação documentos,Agencia Digital
8,953,381,1,2011-02-23 07:57:58 UTC,0.0167,47784.6497568384,59530.61,11745.9602431616,955.0415596395399,109,3,Enviada,Agencia Fisica
9,402,381,71,2016-01-03 21:46:32 UTC,0.0249,149254.42797252105,187154.59,37900.16202747894,4093.0928838843215,97,2,Enviada,Agencia Fisica
10,401,381,12,2018-09-18 04:40:05 UTC,0.0209,153936.0669859827,220403.96,66467.8930140173,14636.707558642982,12,5,Aprovada,Agencia Fisica
11,172,381,37,2020-08-30 10:32:52 UTC,0.0186,90424.09410138064,135771.1,45347.00589861936,1897.5425069350913,118,1,Validação documentos,Agencia Fisica
12,1663,381,86,2020-07-13 19:37:25 UTC,0.0233,134122.57901492354,193574.19,59451.610985076455,4239.792210406047,58,4,Validação documentos,Agencia Fisica
